0.5	1	0
0.7	2	1
1.2	3	2
1.5	1	1
2.0	2	0
2.1	3	1
2.4	2	1
2.55	2	2
3.0	2	2
3.5	3	0
3.7	1	1
4.2	3	2
4.5	1	1
5.0	2	0
5.1	3	1
5.4	2	1
5.55	1	0
6.0	3	0
6.5	2	2
6.7	2	1
7.2	3	2
7.5	2	1
8.0	1	0
8.1	2	2
8.4	2	2
8.55	2	1
9.0	3	1
9.5	1	0
9.7	2	1
10.2	3	2
10.5	1	1
11.0	2	0
11.1	3	1
11.4	2	1
11.55	1	2
12.0	2	2
12.1	3	1
12.4	2	1
12.55	2	2
13.0	2	2
13.5	3	0
13.7	1	1
14.2	3	2
14.5	1	1
15.0	2	0
15.1	3	1
15.4	2	1
15.55	1	0
16.0	3	0
16.5	2	2
16.7	2	1
17.2	3	2
17.5	2	1
18.0	1	0
18.1	2	2
18.4	2	2
18.55	2	1
19.0	3	1
19.5	1	0
19.7	2	1
22.0	0	0
